show,season,unique_id,full_name,age,hometown,occupation
Bachelor,6,06_TANYA,Tanya,31,"Plano, Texas",Teacher
Bachelor,6,06_WENDE,Wende,28,"Austin, Texas",Model/Real Estate Agent
Bachelorette,6,06_CHRIS_H,Chris Hasek-Watt,27,"Campbell River, British Columbia",Real Estate Developer
Bachelorette,6,06_CHRIS_L,Chris Lambton,33,"Dennis, Massachusetts",Landscaper
Bachelorette,6,06_CHRIS_N,Chris Nordhorn,29,"Winter Park, Florida",Entrepreneur
Bachelorette,6,06_CRAIG_M,Craig McKinnon,34,"Sarnia, Ontario",Dental Sales
Bachelorette,6,06_CRAIG_R,Craig Robinson,27,"Langhorne, Pennsylvania",Lawyer
Bachelorette,6,06_DEREK_X,Derek,28,"Warren, Michigan",Sales Manager
Bachelorette,6,06_DERRICK_S,Derrick Schuster,27,"Manhattan Beach, California",Construction Engineer
Bachelorette,6,06_FRANK_N,Frank Neuschaefer,31,"Bartlett, Illinois",Retail Manager
Bachelorette,6,06_HUNTER_W,Hunter Wagner,28,"Fair Oaks Ranch, Texas",Internet Account Executive
Bachelorette,6,06_JASON_W,Jason Whitehead,27,"Johnson City, Tennessee",Construction Consultant
Bachelorette,6,06_JAY_R,Jay Resmini,29,"Barrington, Rhode Island",Lawyer
Bachelorette,6,06_JESSE_B,Jesse Beck,24,"Peculiar, Missouri",General Contractor
Bachelorette,6,06_JOHN_C,John Crivello,32,"Mukilteo, Washington",Hotel Business Development
Bachelorette,6,06_JOHN_N,John N.,27,"Wichita, Kansas",Engineering Software Sales
Bachelorette,6,06_JONATHAN_N,Jonathan Novack,30,"Boston, Massachusetts",Weatherman
Bachelorette,6,06_JUSTIN_R,Justin Rego,26,"Toronto, Ontario",Entertainment Wrestler
Bachelorette,6,06_KASEY_K,Kasey Kahl,27,"Fresno, California",Advertising Account Executive
Bachelorette,6,06_KIRK_D,Kirk DeWindt,27,"Green Bay, Wisconsin",Sales Consultant
Bachelorette,6,06_KYLE_H,Kyle Higgins,26,"Highlands Ranch, Colorado",Outdoorsman
Bachelorette,6,06_PHIL_K,Phil Kayden,30,"Elmore, Ohio",Investment Manager
Bachelorette,6,06_ROBERT_M,Roberto Martinez,26,"Tampa, Florida",Insurance Agent
